nome,email,data_nascimento,telefone,cidade,uf
João Pedro Alves,joao.alves@gmail.com,14/03/1998,(62) 99123-4521,Anápolis,GO
  Maria Fernanda Costa ,maria.costa@hotmail.com,1995-07-22,(62) 98877-1234,Goiânia,go
Carlos Eduardo Lima,carlos.lima@yahoo.com.br,03-11-1990,(62) 99456-7890,Anápolis,GO
Ana Beatriz Souza,ana.souza@gmail.com,28/02/2001,(11) 91234-5678,São Paulo,SP
Pedro Henrique Rocha,pedro.rocha@ outlook.com,19/09/1988,(62) 99988-7766,Anápolis,GO
  joao pedro alves,joao.alves@gmail.com,14/03/1998,(62) 99123-4521,Anápolis,go
Fernanda Lima,fernanda.limahotmail.com,05/12/1993,(64) 99321-1122,Rio Verde,GO
Lucas Martins,lucas.martins@gmail.com,1999-01-30,(62) 99765-4321,Anápolis,GO
,gabriela.nunes@gmail.com,22/06/1997,(62) 99654-3210,Goiânia,GO
Rafael Torres,rafael.torres@gmail.com,31/13/1985,(62) 99123-9999,Anápolis,GO
Juliana Prado,juliana.prado@gmail.com,10/10/1992,,Anápolis,GO
Bruno Alves,bruno.alves@@gmail.com,07/07/1991,(62) 98888-1111,Anápolis,GO
Camila Reis,camila.reis@gmail.com,1994-04-18,(62) 99222-3333,Anápolis,GO
Thiago Nunes,thiago.nunes@gmail.com,23/08/1989,(62) 99777-8888,Anápolis,GO
Camila Reis,camila.reis@gmail.com,18/04/1994,(62) 99222-3333,anápolis,GO
